id,cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
A185,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
A186,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
A187,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
A188,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
A189,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
A190,170.3,155.5,0,185.7,0,1026.6,724.3,7,10.73
A191,170.3,155.5,0,185.7,0,1026.6,724.3,28,25.73
A192,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
A193,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
A194,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
A195,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
A196,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
A197,173,116,0,192,0,946.8,856.8,3,6.94
A198,173,116,0,192,0,946.8,856.8,7,11.39
A199,173,116,0,192,0,946.8,856.8,28,24.28
A200,173,116,0,192,0,946.8,856.8,90,32.1
A201,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
A202,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
A203,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
A204,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
A205,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
A206,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
A207,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
A208,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
A209,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
A210,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
A211,178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
A212,178,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
A213,178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
A214,178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
A215,178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
A216,181.4,0,167,169.6,7.6,1055.6,777.8,3,13.62
A217,181.4,0,167,169.6,7.6,1055.6,777.8,14,21.6
A218,181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
A219,181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57
A220,181.4,0,167,169.6,7.6,1055.6,777.8,100,45.37
A221,181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37
A222,181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94
A223,182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32
A224,182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5
A225,182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27
A226,182,45.2,122,170.2,8.2,1059.4,780.7,56,43.5
A227,182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
A228,183.9,122.6,0,203.5,0,959.2,800,3,4.9
A229,183.9,122.6,0,203.5,0,959.2,800,7,10.79
A230,183.9,122.6,0,203.5,0,959.2,800,28,24.05
A231,183.9,122.6,0,203.5,0,959.2,800,90,32.53
A232,184,86,190,213,6,923,623,28,22.93
A233,186.2,124.1,0,185.7,0,1083.4,764.3,7,8
A234,186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6
A235,190,190,0,228,0,932,670,28,40.86
A236,190,190,0,228,0,932,670,90,42.33
A237,190,190,0,228,0,932,670,180,46.93
A238,190,190,0,228,0,932,670,270,50.66
A239,190,190,0,228,0,932,670,365,53.69
A240,190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45
A241,190.3,0,125.2,166.6,9.9,1079,798.9,3,12.55
A242,190.3,0,125.2,166.6,9.9,1079,798.9,14,19.42
A243,190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72
A244,190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47
A245,190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85
A246,190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72
A247,190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56
A248,190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39
A249,190.3,0,125.2,166.6,9.9,1079,798.9,100,33.56
A250,190.7,0,125.4,162.1,7.8,1090,804,3,15.04
A251,190.7,0,125.4,162.1,7.8,1090,804,14,21.06
A252,190.7,0,125.4,162.1,7.8,1090,804,28,26.4
A253,190.7,0,125.4,162.1,7.8,1090,804,56,35.34
A254,190.7,0,125.4,162.1,7.8,1090,804,100,40.57
A255,192,288,0,192,0,929.8,716.1,3,12.79
A256,192,288,0,192,0,929.8,716.1,7,21.48
A257,192,288,0,192,0,929.8,716.1,28,39.32
A258,192,288,0,192,0,929.8,716.1,90,50.73
A259,193.5,290.2,0,185.7,0,998.2,704.3,7,17.2
A260,193.5,290.2,0,185.7,0,998.2,704.3,28,32.63
A261,194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
A262,194.7,0,100.5,170.2,7.5,998,901.8,3,12.18
A263,194.7,0,100.5,170.2,7.5,998,901.8,14,24.28
A264,194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99
A265,194.7,0,100.5,170.2,7.5,998,901.8,28,37.27
A266,194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72
A267,194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
A268,194.7,0,100.5,170.2,7.5,998,901.8,56,43.39
A269,194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34
A270,194.7,0,100.5,170.2,7.5,998,901.8,100,44.28
A271,198.6,132.4,0,192,0,978.4,825.5,3,9.13
A272,198.6,132.4,0,192,0,978.4,825.5,7,14.64
A273,198.6,132.4,0,192,0,978.4,825.5,28,28.02
A274,198.6,132.4,0,192,0,978.4,825.5,90,38.07
A275,198.6,132.4,0,192,0,978.4,825.5,180,41.72
A276,198.6,132.4,0,192,0,978.4,825.5,360,44.3
A277,200,133,0,192,0,965.4,806.2,3,11.41
A278,200,0,0,180,0,1125,845,7,7.84
A279,200,133,0,192,0,965.4,806.2,7,17.17
A280,200,200,0,190,0,1145,660,28,49.25
A281,200,0,0,180,0,1125,845,28,12.25
A282,200,133,0,192,0,965.4,806.2,28,30.44
A283,200,133,0,192,0,965.4,806.2,90,43.25
A284,202,11,141,206,1.7,942,801,3,9.85
A285,202,11,141,206,1.7,942,801,7,15.07
A286,202,11,141,206,1.7,942,801,28,21.97
A287,202,11,141,206,1.7,942,801,56,23.25
A288,203.5,305.3,0,203.5,0,963.4,630,3,9.56
A289,203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96
A290,203.5,305.3,0,203.5,0,963.4,630,7,19.54
A291,203.5,305.3,0,203.5,0,963.4,630,28,41.68
A292,203.5,135.7,0,185.7,0,1076.2,759.3,28,22.63
A293,203.5,305.3,0,203.5,0,963.4,630,90,51.86
A294,210.7,316.1,0,185.7,0,977,689.3,7,21.82
A295,210.7,316.1,0,185.7,0,977,689.3,28,37.81
A296,212,0,124.8,159,7.8,1085.4,799.5,3,19.52
A297,212,141.3,0,203.5,0,973.4,750,3,6.81
A298,212,141.3,0,203.5,0,973.4,750,7,15.03
A299,212,0,124.8,159,7.8,1085.4,799.5,14,31.35
A300,212,0,124.8,159,7.8,1085.4,799.5,28,38.5
A301,212,141.3,0,203.5,0,973.4,750,28,33
A302,212,0,124.8,159,7.8,1085.4,799.5,56,45.08
A303,212,141.3,0,203.5,0,973.4,750,90,39.7
A304,212,0,124.8,159,7.8,1085.4,799.5,100,47.82
A305,212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47
A306,212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92
A307,212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9
A308,212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2
A309,212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61
A310,212.5,0,100.4,159.3,8.7,1007.8,903.6,3,13.54
A311,212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31
A312,212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64
A313,212.5,0,100.4,159.3,8.7,1007.8,903.6,56,42.55
A314,212.5,0,100.4,159.3,8.7,1007.8,903.6,100,42.92
A315,212.6,0,100.4,159.4,10.4,1003.8,903.8,3,13.33
A316,212.6,0,100.4,159.4,10.4,1003.8,903.8,14,25.37
A317,212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4
A318,212.6,0,100.4,159.4,10.4,1003.8,903.8,56,44.4
A319,212.6,0,100.4,159.4,10.4,1003.8,903.8,100,47.74
A320,213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37
A321,213.5,0,174.2,159.2,11.7,1043.6,771.9,3,15.61
A322,213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59
A323,213.5,0,174.2,154.6,11.7,1052.3,775.5,14,33.7
A324,213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94
A325,213.5,0,174.2,159.2,11.7,1043.6,771.9,28,44.64
A326,213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
A327,213.5,0,174.2,154.6,11.7,1052.3,775.5,56,51.43
A328,213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96
A329,213.5,0,174.2,154.6,11.7,1052.3,775.5,100,59.3
A330,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
A331,213.7,0,174.7,154.8,10.2,1053.5,776.4,3,17.57
A332,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
A333,213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73
A334,213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15
A335,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
A336,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
A337,213.7,0,174.7,154.8,10.2,1053.5,776.4,56,46.64
A338,213.7,0,174.7,154.8,10.2,1053.5,776.4,100,50.08
A339,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
A340,213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
A341,213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84
A342,213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23
A343,213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
A344,213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97
A345,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
A346,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
A347,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
A348,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
A349,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
A350,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
A351,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
A352,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
A353,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
A354,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
A355,218.9,0,124.1,158.5,11.3,1078.7,794.9,3,15.34
A356,218.9,0,124.1,158.5,11.3,1078.7,794.9,14,26.05
A357,218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22
A358,218.9,0,124.1,158.5,11.3,1078.7,794.9,56,37.27
A359,218.9,0,124.1,158.5,11.3,1078.7,794.9,100,46.23
A360,220.8,147.2,0,185.7,0,1055,744.3,7,13.09
A361,220.8,147.2,0,185.7,0,1055,744.3,28,25.75
A362,222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58
A363,222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
A364,222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89
A365,222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45
A366,222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71
A367,225,0,0,181,0,1113,833,7,11.17
A368,225,0,0,181,0,1113,833,28,17.34
A369,228,342.1,0,185.7,0,955.8,674.3,7,21.92
A370,228,342.1,0,185.7,0,955.8,674.3,28,39.7
A371,229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36
A372,229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32
A373,229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54
A374,229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35
A375,229.7,0,118.2,195.2,6.1,1028.1,757.6,100,40.86
A376,230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03
A377,230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08
A378,230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
A379,230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54
A380,230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34
A381,231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44
A382,231.8,0,121.6,174,6.7,1056.4,778.5,14,26.77
A383,231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73
A384,231.8,0,121.6,174,6.7,1056.4,778.5,56,42.7
A385,231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84
A386,233.8,0,94.6,197.9,4.6,947,852.2,3,10.38
A387,233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
A388,233.8,0,94.6,197.9,4.6,947,852.2,28,22.84
A389,233.8,0,94.6,197.9,4.6,947,852.2,56,27.66
A390,233.8,0,94.6,197.9,4.6,947,852.2,100,34.56
A391,234,156,0,189,5.9,981,760,28,39.3
A392,236,0,0,194,0,968,885,3,6.47
A393,236,157,0,192,0,972.6,749.1,3,13.57
A394,236,157,0,192,0,972.6,749.1,7,20.42
A395,236,0,0,193,0,968,885,7,9.99
A396,236,0,0,194,0,968,885,14,12.84
A397,236,157,0,192,0,972.6,749.1,28,32.88
A398,236,0,0,194,0,968,885,28,18.42
A399,236,157,0,192,0,972.6,749.1,90,47.78
A400,236,0,0,194,0,968,885,90,21.95
A401,236,0,0,193,0,968,885,180,24.1
A402,236,0,0,193,0,968,885,365,25.08
A403,236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63
A404,237,92,71,247,6,853,695,28,28.63
A405,237.5,237.5,0,228,0,932,594,7,26.26
A406,237.5,237.5,0,228,0,932,594,28,30.08
A407,237.5,237.5,0,228,0,932,594,90,33.12
A408,237.5,237.5,0,228,0,932,594,180,36.25
A409,237.5,237.5,0,228,0,932,594,270,38.41
A410,237.5,237.5,0,228,0,932,594,365,39
A411,238,0,0,186,0,1119,789,7,12.05
A412,238,0,0,186,0,1119,789,28,17.54
A413,238,0,0,185,0,1118,789,28,17.54
A414,238.1,0,94.1,186.7,7,949.9,847,3,19.93
A415,238.1,0,0,185.7,0,1118.8,789.3,7,10.34
A416,238.1,0,94.1,186.7,7,949.9,847,14,25.69
A417,238.1,0,0,185.7,0,1118.8,789.3,28,17.58
A418,238.1,0,94.1,186.7,7,949.9,847,28,30.23
A419,238.1,0,94.1,186.7,7,949.9,847,56,39.59
A420,238.1,0,94.1,186.7,7,949.9,847,100,44.3
A421,238.2,158.8,0,185.7,0,1040.6,734.3,7,15.69
A422,238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91
A423,239.6,359.4,0,185.7,0,941.6,664.3,7,25.42
A424,239.6,359.4,0,185.7,0,941.6,664.3,28,39.44
A425,246.8,0,125.1,143.3,12,1086.8,800.9,3,23.52
A426,246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22
A427,246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5
A428,246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32
A429,246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42
A430,249.1,0,98.8,158.1,12.8,987.8,889,3,15.36
A431,249.1,0,98.8,158.1,12.8,987.8,889,14,28.68
A432,249.1,0,98.8,158.1,12.8,987.8,889,28,30.85
A433,249.1,0,98.8,158.1,12.8,987.8,889,56,42.03
A434,249.1,0,98.8,158.1,12.8,987.8,889,100,51.06
A435,250,0,95.7,187.4,5.5,956.9,861.2,3,13.82
A436,250,0,95.7,191.8,5.3,948.9,857.2,3,8.49
A437,250,0,0,182,0,1100,820,7,12.73
A438,250,0,95.7,187.4,5.5,956.9,861.2,14,24.92
A439,250,0,95.7,191.8,5.3,948.9,857.2,14,24.66
A440,250,0,95.7,187.4,5.5,956.9,861.2,28,29.22
A441,250,0,0,182,0,1100,820,28,20.87
A442,250,180,95,159,9.5,860,800,28,67.87
A443,250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
A444,250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
